"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"137" 98.25 55.25 "Control" 26 0 0 19 0 238 2 0 209 6 4.79 0 0 0.01 0
"138" -142.25 66.75 "Control" 0 0 0 18 0 176 0 0 309 4 1.18 0 0 0.06 0.49
"139" -127.75 60.75 "Control" 21 0 0 16 85 468 0 0 216 92 5.72 0 0 0 0.56
"140" -126.75 59.25 "Control" 35 0 0 22 0 440 0 0 231 23 4.09 0.02 0 0 2.55
"141" -115.25 57.25 "Control" 39 2 0 33 2 215 2 0 171 2 0.82 1.97 0 0.33 1.96
"142" -113.75 62.25 "Control" 21 0 0 27 85 72 0 0 200 170 0.25 0 0 0.55 2.15
"143" -105.75 55.75 "Control" 59 1 0 39 4 341 1 0 209 10 6.68 0 0 0 0.17
"144" -102.75 58.75 "Control" 0 0 0 50 0 72 0 0 303 1 1.26 0 0 0.07 0.31
"145" -92.75 50.25 "Control" 32 0 0 32 1 296 0 0 236 6 4.72 1.79 0 0 1.61
"146" -90.75 55.75 "Control" 35 0 0 42 1 218 0 0 279 2 1.62 0 0 0.11 0.48
"147" -82.75 51.75 "Control" 20 0 0 17 0 196 1 0 160 0 0.63 0.42 0 0.28 0.51
"148" -76.25 50.75 "Control" 19 0 0 36 0 159 0 0 255 1 1.75 0 0 0.09 0
"149" 15.25 62.25 "Control" 47 0 0 16 0 500 0 0 151 7 7.48 0 0 0 0
"150" 27.75 69.25 "Control" 30 0 0 30 0 340 0 0 273 19 0.54 0 0 0.07 0.16
"151" 34.25 67.75 "Control" 0 0 0 19 0 75 0 0 236 0 0.08 0 0 0.24 0.05
"152" 38.25 61.25 "Control" 18 1 0 24 0 135 6 0 141 2 0.19 7.01 0 0.2 0.47
"153" 44.25 61.75 "Control" 52 0 0 26 1 455 0 0 185 8 5.28 0 0 0 1.34
"154" 64.25 65.25 "Control" 14 0 0 18 0 82 0 0 134 0 0.82 0 0 0.16 0.21
"155" 65.75 66.25 "Control" 0 0 0 15 0 29 0 0 138 0 0.06 0 0 0.16 0.04
"156" 70.75 60.75 "Control" 17 7 0 34 1 75 7 0 141 1 0.46 2.7 0 0.02 0.42
"157" 96.25 54.75 "Control" 69 1 0 38 6 411 1 0 219 8 0.04 0.02 0 0.54 0.06
"158" 101.75 55.75 "Control" 43 1 0 50 3 206 1 0 179 3 0.07 0.23 0 0.52 0.36
"159" -157.75 62.25 "Control" 40 0 0 31 1 266 0 0 202 5 1.19 0 0 0.04 0.29
"160" -122.75 57.25 "Control" 47 0 0 20 2 297 0 0 167 11 3.25 0.61 0 0 8.3
"161" -95.25 53.25 "Control" 12 1 0 21 0 107 9 0 197 0 0.09 8.19 0 0.01 0.36
"162" -74.75 51.75 "Control" 22 0 0 31 0 141 0 0 228 1 1.5 0 0 0.07 0.02
"163" 26.75 68.75 "Control" 27 0 0 19 0 332 0 0 235 14 0.71 0 0 0.02 0.19
"164" 32.75 65.25 "Control" 232 0 0 176 0 3920 0 0 3200 16 10.56 0.04 0 1.6 0.96
"165" 41.75 64.25 "Control" 47 0 0 26 1 437 0 0 207 8 4.06 0 0 0 1.52
"166" 43.75 60.25 "Control" 39 5 0 38 4 222 10 0 189 6 6.95 0 0 0 0
"167" 47.75 59.25 "Control" 58 7 0 30 2 241 10 0 158 2 0.47 6.48 0 0.1 0.8
"168" 67.25 62.25 "Control" 16 0 0 23 0 115 1 0 153 0 0.38 3.07 0 0.23 0.38
"169" 77.75 64.25 "Control" 8 0 0 16 0 101 0 0 190 1 1.17 0 0 0.11 0
"170" -90.25 51.25 "Control" 32 0 0 20 0 325 1 0 214 6 5.11 0 0 0 0.73
"171" -63.25 50.75 "Control" 19 0 0 24 0 166 0 0 206 3 0.18 0 0 0.24 0.08
"172" -61.25 52.25 "Control" 16 0 0 144 0 192 0 0 2576 0 0.08 0 0 1.28 0.12
"173" -55.75 48.25 "Control" 38 0 23 28 6 214 0 116 151 12 2.79 0 1.07 0 1.31
"174" 26.75 63.75 "Control" 26 3 0 29 4 163 7 0 192 18 0.96 0.12 0.06 0.55 2.1
"175" 27.75 65.75 "Control" 53 0 0 30 1 326 0 0 202 3 1.8 0 0 0.05 0
"176" 29.75 66.25 "Control" 38 0 0 34 1 209 0 0 230 3 0.47 0 0 0.09 0.18
"177" 34.25 59.25 "Control" 24 6 0 21 0 173 14 8 125 1 6.03 0 0.01 0.25 0
"178" 38.75 66.75 "Control" 80 0 0 44 8 358 0 0 211 10 5.33 0 0 0 0.47
"179" 64.75 59.75 "Control" 34 0 0 26 1 259 0 0 158 2 1.28 0.09 0 0.14 0.84
"180" 75.25 61.75 "Control" 16 0 0 15 0 134 0 0 131 0 1.93 0 0 0.15 0
"181" 80.75 56.75 "Control" 22 0 0 30 1 160 0 0 169 1 0.1 1.66 0 0.84 0.34
"182" 83.75 62.75 "Control" 9 0 0 13 0 76 1 0 130 0 1.41 0 0 0.15 0
"183" 90.25 60.25 "Control" 12 0 0 19 0 99 0 0 153 0 0.97 0.01 0 0.1 0.66
"184" 100.25 57.25 "Control" 104 0 0 192 8 1216 0 0 2368 48 11.24 0.16 0 2.16 0.8
"185" 101.25 55.75 "Control" 224 8 0 240 8 3184 32 0 3024 48 6.36 20 0 1 7.04
"186" 136.25 50.75 "Control" 53 0 0 33 4 304 0 0 217 6 1.39 0.19 0 0 1.18
"187" -111.75 61.75 "Control" 29 0 0 17 0 353 0 0 170 9 3.24 0 0 0.01 1.87
